FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Yb171Di--(CD161/pERK1/2), Medians_Ungated_Lu175Di--(pS6)
151030_CGI002_CV7095_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7095,15.7080001831054,17.1919994354248,76.7730026245117,14.2480001449584,96.4759979248046,92.9010009765625,24.3770008087158,370.015014648437,9.43299961090087,121.025001525878
151030_CGI002_CV7095_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7095,14.5410003662109,19.6974992752075,34.3350009918212,16.789999961853,52.5679988861084,130.192497253417,15.0914998054504,185.592498779296,0,7.90100002288818
151030_CGI002_CV7095_singlets_B cells.fcs,B cells,CV7095,3.85700011253356,3.1340000629425,17.0189990997314,4.06300020217895,40.2029991149902,30.8659992218017,17.9720001220703,90.1309967041015,0,8.44999980926513
151030_CGI002_CV7095_singlets_Basophils.fcs,Basophils,CV7095,10.3319997787475,2.05999994277954,10.0069999694824,2.16600000858306,12.8399996757507,2.41699993610382,19.4934997558593,79.2104988098144,2.01249998807907,36.2259998321533
151030_CGI002_CV7095_singlets_CD1c DCs.fcs,CD1c DCs,CV7095,8.57999992370605,9.38549995422363,62.8635005950927,8.46899986267089,84.5450019836425,72.6660003662109,83.513500213623,406.585494995117,2.76449990272521,235.695999145507
151030_CGI002_CV7095_singlets_CD4 T cells.fcs,CD4 T Cells,CV7095,4.71650004386901,2.26100003719329,13.6325001716613,3.06900000572204,32.3824996948242,23.1884994506835,51.8760013580322,83.2064971923828,0,0.838999986648559
151030_CGI002_CV7095_singlets_CD8 T cells.fcs,CD8 T cells,CV7095,4.44899988174438,2.2755000591278,13.9965000152587,2.4614999294281,33.3010005950927,24.869999885559,50.5634994506835,94.818000793457,0,1.73300004005432
151030_CGI002_CV7095_singlets_NK cells.fcs,NK cells,CV7095,6.06150007247924,4.16799998283386,14.2249999046325,2.9815000295639,34.533498764038,66.0084991455078,29.3444995880126,105.782001495361,4.59200000762939,0.907000005245208
151030_CGI002_CV7095_singlets_NKT cells.fcs,NKT cells,CV7095,3.7130000591278,2.57699990272521,11.9790000915527,2.46799993515014,26.0499992370605,40.6759986877441,22.9209995269775,74.8619995117187,6.13299989700317,0.763000011444091
151030_CGI002_CV7095_singlets_pDCs.fcs,pDCs,CV7095,4.85099983215332,5.11700010299682,35.7569999694824,5.9079999923706,61.011001586914,48.6860008239746,32.4440002441406,211.774993896484,0,39.625
151030_CGI002_CV7096_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7096,13.6219997406005,15.2569999694824,74.213996887207,12.5069999694824,95.7900009155273,80.3880004882812,25.5319995880126,354.864013671875,11.2869997024536,134.662994384765
151030_CGI002_CV7096_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7096,12.888000011444,18.8640003204345,35.0759983062744,12.6880002021789,53.0304985046386,124.85350036621,15.9395003318786,155.153999328613,0,4.75699996948242
151030_CGI002_CV7096_singlets_B cells.fcs,B cells,CV7096,3.67200005054473,2.85049998760223,16.8429994583129,3.91600000858306,39.3854999542236,28.8470001220703,18.5725002288818,85.25,0,7.35750007629394
151030_CGI002_CV7096_singlets_Basophils.fcs,Basophils,CV7096,9.57600021362304,1.92100000381469,11.8520002365112,0.717999994754791,17.2059993743896,2.27300000190734,22.1009998321533,88.9140014648437,2.32100009918212,34.6310005187988
151030_CGI002_CV7096_singlets_CD1c DCs.fcs,CD1c DCs,CV7096,6.55200004577636,8.61499977111816,69.761001586914,7.02199983596801,83.697998046875,64.9850006103515,91.5589981079101,391.109985351562,3.79099988937377,170.440002441406
151030_CGI002_CV7096_singlets_CD4 T cells.fcs,CD4 T Cells,CV7096,4.38999986648559,2.08899998664855,14.3794999122619,2.7444999217987,30.875,21.1529998779296,50.4375,76.0480003356933,0,0.639999985694885
151030_CGI002_CV7096_singlets_CD8 T cells.fcs,CD8 T cells,CV7096,4.31099987030029,1.91700005531311,14.8330001831054,2.125,33.0279998779296,23.023000717163,50.7849998474121,85.8450012207031,0.0379999987781047,1.38800001144409
151030_CGI002_CV7096_singlets_NK cells.fcs,NK cells,CV7096,5.9539999961853,4.16900014877319,14.6780004501342,2.95300006866455,34.2929992675781,65.4459991455078,29.7520008087158,102.581001281738,4.13700008392334,0.653999984264373
151030_CGI002_CV7096_singlets_NKT cells.fcs,NKT cells,CV7096,3.97249996662139,2.27300000190734,12.0290002822875,2.16750001907348,27.0275001525878,37.3414993286132,23.517499923706,71.1749992370605,5.69800019264221,0.490000009536743
151030_CGI002_CV7096_singlets_pDCs.fcs,pDCs,CV7096,6.85799980163574,4.94950008392334,37.1695003509521,3.71399998664855,65.7024993896484,53.0489997863769,37.5205001831054,207.106498718261,0,27.8870000839233
151030_CGI002_CV7099_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7099,13.829999923706,16.1949996948242,67.3690032958984,12.6309995651245,86,97.5830001831054,23.962999343872,340.565002441406,9.10700035095214,107.157997131347
151030_CGI002_CV7099_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7099,13.7639999389648,20.9300003051757,31.2689990997314,13.1969995498657,53.6529998779296,144.910003662109,15.2209997177124,162.598999023437,0,4.54199981689453
151030_CGI002_CV7099_singlets_B cells.fcs,B cells,CV7099,3.33550000190734,2.72449994087219,15.3045001029968,3.57049989700317,34.9599990844726,28.3990001678466,17.2890005111694,75.1949996948242,0,7.14600014686584
151030_CGI002_CV7099_singlets_Basophils.fcs,Basophils,CV7099,9.38299989700317,1.83649998903274,7.81599998474121,1.16100001335144,10.7385001182556,2.51949989795684,20.1215000152587,76.8000030517578,0.0185000002384185,27.9504995346069
151030_CGI002_CV7099_singlets_CD1c DCs.fcs,CD1c DCs,CV7099,6.79600000381469,9.82400035858154,66.2320022583007,5.67000007629394,83.6149978637695,70.7750015258789,81.9440002441406,340.424987792968,3.5880000591278,115.088996887207
151030_CGI002_CV7099_singlets_CD4 T cells.fcs,CD4 T Cells,CV7099,4.07100009918212,2.05800008773803,13.4139995574951,2.76999998092651,29.9979991912841,21.1909999847412,50.1629981994628,76.8349990844726,0,0.505999982357025
