Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7095_auto_live_B cells.fcs,auto,CV7095,B cells,918,1.2081774473190308,0.13531933724880219,10.316471099853516,2.3991364240646362,34.30475425720215,22.079315185546875,2.2667804956436157,91.94051742553711,0.0,15.506441116333008
151120_CGI002b_CV7095_auto_live_Basophils.fcs,auto,CV7095,Basophils,56,2.7066478729248047,5.14684534072876,13.72778034210205,1.010134756565094,13.074991703033447,0.4297891706228256,0.5162971019744873,119.04708099365234,3.5347477197647095,4.131650686264038
151120_CGI002b_CV7095_auto_live_CD14 monocytes.fcs,auto,CV7095,CD14 monocytes,5627,4.956211090087891,3.7222747802734375,53.83409118652344,6.644906997680664,67.42431640625,31.849424362182617,10.676200866699219,350.7414245605469,7.805471897125244,35.66733169555664
151120_CGI002b_CV7095_auto_live_CD16 monocytes.fcs,auto,CV7095,CD16 monocytes,885,7.354434490203857,6.686606407165527,21.08821678161621,6.537806987762451,42.232669830322266,94.90386962890625,10.803606033325195,184.99969482421875,1.0459095239639282,7.323912143707275
151120_CGI002b_CV7095_auto_live_CD1c DCs.fcs,auto,CV7095,CD1c DCs,237,3.657902956008911,1.7189735174179077,51.136863708496094,3.8024630546569824,68.14427947998047,39.7513542175293,38.215816497802734,357.650634765625,5.901203632354736,154.39727783203125
151120_CGI002b_CV7095_auto_live_CD4 T cells.fcs,auto,CV7095,CD4 T cells,9426,1.5476275086402893,0.0,8.355916976928711,1.0549455881118774,24.13951015472412,16.211779594421387,14.785862922668457,81.82659149169922,4.05712628364563,1.5824754238128662
151120_CGI002b_CV7095_auto_live_CD8 T cells.fcs,auto,CV7095,CD8 T cells,4026,1.3892079591751099,0.0,9.038437366485596,0.7228304445743561,26.10124111175537,17.754931449890137,13.323258399963379,90.83661651611328,4.066823720932007,2.367092251777649
151120_CGI002b_CV7095_auto_live_NK cells.fcs,auto,CV7095,NK cells,3326,1.6270381212234497,0.04572020284831524,7.14604926109314,0.593658059835434,26.33533763885498,42.07102012634277,8.452550888061523,80.98781967163086,0.02510942704975605,0.8248598277568817
151120_CGI002b_CV7095_auto_live_NKT cells.fcs,auto,CV7095,NKT cells,5580,1.063678503036499,0.0,6.3192689418792725,0.8677765130996704,19.743139266967773,27.16097068786621,7.03511643409729,61.37160301208496,3.8309972286224365,0.8042400777339935
151120_CGI002b_CV7095_auto_live_Total.fcs,auto,CV7095,Total,30797,1.9211868047714233,0.39035019278526306,10.692501068115234,1.6938661336898804,28.48118782043457,23.488128662109375,10.352657318115234,97.71556091308594,3.592801094055176,3.0478649139404297
151120_CGI002b_CV7095_auto_live_pDCs.fcs,auto,CV7095,pDCs,282,1.5328468680381775,3.9284685850143433,23.62263011932373,1.8007763624191284,51.86319351196289,31.604835510253906,9.533542156219482,156.3640365600586,0.79610475897789,144.62744140625
151120_CGI002b_CV7095_healthy_live_B cells.fcs,healthy,CV7095,B cells,988,1.2880992889404297,0.13168494030833244,9.202668190002441,2.1004598140716553,32.525625228881836,22.340432167053223,2.12800395488739,68.43240356445312,0.0,13.860535144805908
151120_CGI002b_CV7095_healthy_live_Basophils.fcs,healthy,CV7095,Basophils,47,0.758723258972168,3.5901761054992676,19.329544067382812,0.11986115574836731,10.730756759643555,1.2036981582641602,0.679947555065155,117.69705200195312,2.477144241333008,6.99320125579834
